,HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
1,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,945,2192,0.0,5506.0,0,586,797,905,1031,1777,5506
2,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,935,2113,0.0,2846.0,15,609,805,890,1022,1699,2520
3,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,915,2022,0.0,2906.0,62,593,767,874,1010,1640,2906
4,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,974,2252,0.0,30022.0,109,601,815,936,1065,1656,30022
5,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,892,2745,15.0,20153.0,15,585,760,845,966,1648,10445
6,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,920,2767,0.0,4303.0,0,593,791,890,1015,1569,4303
7,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,936,2405,15.0,30161.0,569,609,785,906,1028,1602,30161
8,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,977,2313,0.0,19282.0,0,617,823,934,1078,1747,19282
9,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,980,2569,15.0,3301.0,15,603,820,938,1070,1859,3301
10,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,961,2830,0.0,3480.0,31,588,812,925,1062,1715,2555
11,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,1035,3233,0.0,4563.0,0,684,895,1006,1136,1722,4563
12,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,996,3414,0.0,6282.0,0,648,852,954,1089,1808,4105
13,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,910,3501,0.0,3089.0,0,563,781,883,1011,1468,3089
14,eac11c197b329fb8a68e3b0d7628cf766393fd45ff4e81bad066fa960fdbd69c,163ed28d1ad94b4504039d4afffd72ea92c22ced06c3d36d11f5bdff05b56793,747b9c0c8fe8e7fff3b0ae51f161b0a3c1fc1782190b799a5e878dee583e6d54,907,3154,15.0,3940.0,452,578,764,875,1004,1585,3940
